,Event.Id,Accident.Number,Event.Date,Location,Country,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date
54,20020917X02414,MIA82FLD14,1982-01-08,"ODESSA, FL",United States,W. PASCO,Fatal(1),Destroyed,Airplane,N80264,Cessna,172M,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,08-01-1983
55,20020917X01881,CHI82FA024,1982-01-08,"NEW PHILADELPHI, OH",United States,HARRY CLEVER FIELD,Fatal(1),Destroyed,Airplane,N207CB,Piper,PA-28-140,No,1.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,VMC,Approach,Probable Cause,08-01-1983
56,20020917X02574,SEA82DA016,1982-01-08,"PULLMAN, WA",United States,PULLMAN-MOSCOW REGIONAL,Non-Fatal,Substantial,Airplane,N6106U,Cessna,TU206G,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,08-01-1983
58,20020917X02431,MKC82DA026,1982-01-08,"LIBERTY, MO",United States,MITHELL,Non-Fatal,Substantial,Airplane,N7618P,Piper,PA-24-250,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,08-01-1983
59,20020917X01779,CHI82DA023,1982-01-08,"PEORIA, IL",United States,MOUNT HAWLEY,Non-Fatal,Substantial,Airplane,N6265P,Cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,08-01-1983
60,20020917X01778,CHI82DA022,1982-01-08,"SANDUSKY, OH",United States,GRIFFING-SANDUSKY,Non-Fatal,Substantial,Airplane,N737LH,Cessna,172N,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,08-01-1983
61,20020917X01717,ATL82DLG09,1982-01-08,"GRANTITEVILLE, SC",United States,TWIN LAKES,Non-Fatal,Substantial,Airplane,N25225,Cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,08-01-1983
62,20020917X02247,LAX82DVG13,1982-01-09,"CALISTOGA, CA",United States,CALISTOGA,Non-Fatal,Substantial,Glider,N10UP,Schleicher,ASW 20,No,0.0,Unknown,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,09-01-1983
63,20020917X02246,LAX82DVG12,1982-01-09,"NAPA, CA",United States,NAPA,Non-Fatal,Substantial,Airplane,N731NZ,Cessna,P210N,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,3.0,VMC,Landing,Probable Cause,09-01-1983
64,20020917X01995,FTW82DA039,1982-01-09,"FRUIT VALE, TX",United States,PRIVATE STRIP,Non-Fatal,Substantial,Airplane,N7355A,Cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,09-01-1983
65,20020917X01994,FTW82DA038,1982-01-09,"TOMBALL, TX",United States,DAVID WAYNE HOOKS,Non-Fatal,Substantial,Airplane,N55489,Piper,PA-34,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Taxi,Probable Cause,09-01-1983
66,20020917X02283,LAX82FJA03,1982-01-09,"MOKULEIA, HI",United States,DILLINGHAM,Non-Fatal,Substantial,Airplane,N5639V,Cessna,305 (L-19),No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,09-01-1983
67,20020917X01981,DEN82FTE15,1982-01-09,"STEAMBOAT SPRIN, CO",United States,ROUTT CITY,Non-Fatal,Substantial,Airplane,N2195G,Cessna,182A,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,09-01-1983
68,20020917X02341,MIA82DA032,1982-01-10,"OKEECHOBEE, FL",United States,LOWERY DAVIS,Non-Fatal,Destroyed,Airplane,N567V,Piper,PA-23-250,No,2.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,UNK,Approach,Probable Cause,10-01-1983
69,20020917X02158,LAX82DA041,1982-01-10,"BULLHEAD CITY, AZ",United States,BULLHEAD CITY,Non-Fatal,Destroyed,Airplane,N2753J,Cessna,172N,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,10-01-1983
70,20020917X01882,CHI82FA025,1982-01-10,"WHEELING, IL",United States,PALWAUKEE,Non-Fatal,Destroyed,Airplane,N6995Y,Piper,23-250,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,IMC,Takeoff,Probable Cause,10-01-1983
76,20020917X01965,DEN82FA017,1982-01-11,"RIVERTON, WY",United States,RIVERTON REGIONAL,Fatal(4),Destroyed,Airplane,N6558A,Cessna,210N,No,1.0,Reciprocating,Personal,4.0,1.0,1.0,0.0,IMC,Takeoff,Probable Cause,11-01-1983
77,20020917X01982,DEN82FTE16,1982-01-11,"SAQUACHE, CO",United States,COCHETOPA,Non-Fatal,Substantial,Airplane,N2332C,Cessna,180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,11-01-1983
78,20020917X01715,ATL82DKJ09,1982-01-11,"AUBURN, AL",United States,AUBURN/OPELIKA,Non-Fatal,Substantial,Airplane,N424VW,Cessna,310L,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,11-01-1983
80,20020917X01765,ATL82IA034,1982-01-12,"CLARKSBURG, WV",United States,BENEDUM,Incident,Minor,Airplane,N615KC,Embraer,EMB-110P1,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,12-01-1983
82,20020917X02111,FTW82FPA10,1982-01-12,"ADDISON, TX",United States,ADDISON,Non-Fatal,Substantial,Airplane,N8678M,Beech,P35,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,IMC,Descent,Probable Cause,12-01-1983
86,20020917X01996,FTW82DA040,1982-01-13,"HOBBS, NM",United States,LEA COUNTY HOBBS,Non-Fatal,Substantial,Airplane,N2396W,Beech,A23-24,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,13-01-1983
87,20020917X02575,SEA82DA017,1982-01-13,"SPOKANE, WA",United States,GEIGER FIELD,Non-Fatal,Substantial,Airplane,N36PB,Piper,PA-31-350,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,IMC,Approach,Probable Cause,13-01-1983
90,20020917X02395,MIA82DKJ03,1982-01-15,"MALONE, FL",United States,TAYLOR FARMS,Non-Fatal,Substantial,Airplane,N5559T,Cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,15-01-1983
92,20020917X02576,SEA82DA018,1982-01-15,"SPOKANE, WA",United States,FELTS,Non-Fatal,Substantial,Airplane,N72901,Cessna,140,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,15-01-1983
93,20020917X02538,NYC82FA021,1982-01-15,"JAMAICA, NY",United States,JOHN F. KENNEDY INT'L,Non-Fatal,Substantial,Airplane,N341PL,Swearingen,SA 226-TC,No,2.0,Turbo Prop,Unknown,0.0,1.0,2.0,12.0,VMC,Takeoff,Probable Cause,15-01-1983
94,20020917X01780,CHI82DA027,1982-01-15,"ANOKA, MN",United States,ANOKA COUNTY,Non-Fatal,Substantial,Airplane,N300JR,Beech,C-45H,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,15-01-1983
97,20020917X02487,NYC82DA023,1982-01-16,"SWANTON, VT",United States,FRANKLIN COUNTY,Non-Fatal,Substantial,Airplane,N704KE,Cessna,150M,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Go-around,Probable Cause,16-01-1983
98,20020917X02321,LAX82FVG14,1982-01-17,"DAVIS, CA",United States,UNIVERSITY,Fatal(1),Destroyed,Airplane,N63182,Cessna,150M,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Takeoff,Probable Cause,17-01-1983
99,20020917X02306,LAX82FUQ08,1982-01-17,"MOJAVE, CA",United States,MOJANE,Fatal(1),Destroyed,Airplane,N381JH,Bede Aircraft,BD-5B,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,17-01-1983
101,20020917X02159,LAX82DA042,1982-01-17,"HONOLULU, HI",United States,HONOLULU INTL,Non-Fatal,Destroyed,Airplane,N21DR,Convair,440,No,2.0,Reciprocating,Unknown,0.0,0.0,2.0,1.0,VMC,Takeoff,Probable Cause,17-01-1983
102,20020917X02142,FTW82FRG21,1982-01-17,"PORT MANSFIELD, TX",United States,PORT MANSFIELD,Fatal(1),Destroyed,Airplane,N9181Y,Piper,PA-31,No,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,17-01-1983
104,20020917X01721,ATL82FA035,1982-01-17,"PICAYUNE, MS",United States,PICAYUNE-PEARL RIVER CNTY,Fatal(2),Destroyed,Airplane,N654T,Beech,F50,No,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,17-01-1983
105,20020917X01624,ANC82DA014,1982-01-17,"ANCHORAGE, AK",United States,MERRILL FIELD,Non-Fatal,Destroyed,Airplane,N63516,Cessna,150,No,1.0,Reciprocating,Instructional,0.0,0.0,1.0,1.0,VMC,Takeoff,Probable Cause,17-01-1983
106,20020917X01914,DEN82DA019,1982-01-17,"CEDAR CITY, UT",United States,SWAINS CREEK,Non-Fatal,Substantial,Airplane,N2600Y,Cessna,180E,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,17-01-1983
109,20020917X02624,SEA82FYM08,1982-01-18,"ORCHARDS, WA",United States,CLARK COUNTY,Non-Fatal,Destroyed,Airplane,N2127W,Beech,C23,No,1.0,Reciprocating,Business,0.0,2.0,2.0,0.0,VMC,Descent,Probable Cause,18-01-1983
113,20020917X01722,ATL82FA037,1982-01-18,"MADISON COUNTY, AL",United States,HUNTSVILLE-MADISON COUNTY,Fatal(4),Substantial,Airplane,N641CH,Cessna,210L,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,18-01-1983
114,20020917X02476,MKC82FCQ08,1982-01-19,"CEDAR VALE, KS",United States,MILLS RANCH,Fatal(1),Destroyed,Airplane,N7761M,Mooney,M20F,No,1.0,Reciprocating,Business,1.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,19-01-1983
115,20020917X02121,FTW82FPJ12,1982-01-19,"STILLWATER, OK",United States,STILLWATER MUNICIPAL,Fatal(2),Destroyed,Airplane,N4438D,Beech,G35,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Maneuvering,Probable Cause,19-01-1983
117,20020917X01908,DCA82AA012B,1982-01-19,"ROCKPORT, TX",United States,ARANSAS COUNTY AIRPORT,Fatal(3),Destroyed,Airplane,N26660,Grumman,AA5A,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,19-01-1983
118,20020917X01908,DCA82AA012A,1982-01-19,"ROCKPORT, TX",United States,ARANSAS COUNTY AIRPORT,Fatal(3),Destroyed,Airplane,N336SA,Swearingen,SA226-T(B),No,2.0,Turbo Prop,Executive/corporate,3.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,19-01-1983
120,20020917X02490,NYC82DA026,1982-01-19,"SOMERSET, PA",United States,SOMERSET COUNTY,Non-Fatal,Substantial,Airplane,N8043J,Piper,AEROSTAR 601P,No,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,19-01-1983
123,20020917X02424,MKC82DA017,1982-01-19,"URBANDALE, IA",United States,MORNINGSTAR,Non-Fatal,Substantial,Airplane,N1969Q,Cessna,177RG,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Climb,Probable Cause,19-01-1983
124,20020917X02296,LAX82FUJ26,1982-01-19,"KINGMAN, AZ",United States,MOJANE,Non-Fatal,Substantial,Airplane,N824CB,Beachner,QUICK SILVER,Yes,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Climb,Probable Cause,19-01-1983
125,20020917X02160,LAX82DA043,1982-01-19,"SANTA MONICA, CA",United States,SANTA MONICA,Non-Fatal,Substantial,Airplane,N9255X,Cessna,182E,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,19-01-1983
126,20020917X01997,FTW82DA042,1982-01-19,"SHREVEPORT, LA",United States,SHREVEPORT REGIONAL,Non-Fatal,Substantial,Airplane,N6510S,Cessna,150H,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,19-01-1983
128,20020917X01781,CHI82DA028,1982-01-19,"GRAND RAPIDS, MI",United States,KENT COUNTY,Non-Fatal,Substantial,Airplane,N26093,Piper,PA-38-112,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,19-01-1983
129,20020917X02397,MIA82FA034,1982-01-19,"MIAMI, FL",United States,MIAMI INTL,Non-Fatal,Substantial,Airplane,HCBHS,Canadair,CL-44D4,No,4.0,Turbo Prop,Unknown,0.0,0.0,0.0,6.0,VMC,Landing,Probable Cause,19-01-1983
130,20020917X01628,ANC82DA019,1982-01-19,"TUNTUTULIAK, AK",United States,TUNTUTULIAK,Non-Fatal,Substantial,Airplane,N4246T,Piper,PA-32,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,19-01-1983
131,20020917X02334,LAX82IA044,1982-01-20,"SAN JOSE, CA",United States,SAN JOSE MUNICIPAL,Incident,Minor,Airplane,N74HP,Piper,PA-31-350,No,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,20-01-1983
134,20020917X01751,ATL82FKQ10,1982-01-20,"MCCOMB, MS",United States,MCCOMB-PIKE COUNTY,Fatal(1),Destroyed,Airplane,N6242Y,Piper,PA-23-250,No,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,20-01-1983
135,20020917X02398,MIA82FA035,1982-01-20,"ORLANDO, FL",United States,HERNDON,Fatal(1),Substantial,Airplane,N3318S,Cessna,210,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,20-01-1983
136,20020917X01998,FTW82DA044,1982-01-20,"MIDLAND, TX",United States,MIDLAND AIRPARK,Non-Fatal,Substantial,Airplane,N5350M,Cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,20-01-1983
140,20020917X02399,MIA82FA037,1982-01-21,"15NM W. OPA LOC, FL",United States,OPA LOCKA WEST,Non-Fatal,Destroyed,Airplane,N211TA,Douglas,DC-3,No,2.0,Reciprocating,Unknown,0.0,0.0,2.0,0.0,VMC,Takeoff,Probable Cause,21-01-1983
141,20020917X02295,LAX82FUJ25,1982-01-21,"BAGDAD, AZ",United States,BAGDAD,Non-Fatal,Destroyed,Airplane,N40291,Piper,PA-23-250,No,2.0,Reciprocating,Executive/corporate,0.0,1.0,2.0,0.0,IMC,Maneuvering,Probable Cause,21-01-1983
143,20020917X01762,ATL82FLT02,1982-01-21,"NEW ALBANY, MS",United States,NEW ALBANY,Fatal(1),Destroyed,Airplane,N6142L,Grumman,AA-1,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Takeoff,Probable Cause,21-01-1983
144,20020917X01749,ATL82FKJ11,1982-01-21,"MUSCLE SHOALS, AL",United States,MUSCLE SHOALS,Non-Fatal,Destroyed,Airplane,N31937,Piper,PA-32,No,1.0,Reciprocating,Personal,0.0,1.0,3.0,0.0,VMC,Approach,Probable Cause,21-01-1983
145,20020917X01626,ANC82DA016,1982-01-21,"PORT GRAHAM, AK",United States,ENGLISH BAY,Non-Fatal,Destroyed,Airplane,N1729U,Cessna,207,No,1.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,21-01-1983
146,20020917X01782,CHI82DA029,1982-01-21,"SHELL LAKE, WI",United States,SHELL LAKE,Non-Fatal,Substantial,Airplane,N6029Q,Mooney,M-20,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,21-01-1983
147,20020917X02161,LAX82DA046,1982-01-21,"DOS PALOS, CA",United States,SPAIN-AIR AIRPORT,Non-Fatal,Substantial,Airplane,N8793S,Air Tractor,301,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,21-01-1983
150,20020917X02171,LAX82DA060,1982-01-22,"CARSON CITY, NV",United States,CARSON CITY,Non-Fatal,Substantial,Airplane,N13083,Cessna,172M,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,22-01-1983
155,20020917X01909,DCA82AA013,1982-01-23,"BOSTON, MA",United States,BOSTON-LOGAN INTER'L,Fatal(2),Destroyed,Airplane,N113WA,Mcdonnell Douglas,DC-10-30,No,3.0,Turbo Fan,Unknown,2.0,4.0,24.0,182.0,IMC,Landing,Probable Cause,23-01-1983
157,20020917X02426,MKC82DA020,1982-01-23,"TOPEKA, KS",United States,PHILLIP BILLARD,Non-Fatal,Substantial,Airplane,N2872D,Piper,PA-32-300,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,23-01-1983
161,20020917X02113,FTW82FPD08,1982-01-23,"SAGINAW, TX",United States,OLIVER FARMS,Non-Fatal,Substantial,Airplane,N7219S,Cessna,150H,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Landing,Probable Cause,23-01-1983
164,20020917X02002,FTW82DA049,1982-01-23,"HOUSTON, TX",United States,WEISER,Non-Fatal,Substantial,Airplane,N2536K,Piper,PA-38-112,No,1.0,Reciprocating,Unknown,0.0,0.0,1.0,1.0,VMC,Go-around,Probable Cause,23-01-1983
165,20020917X01990,FTW82AA046,1982-01-24,"LAREDO, TX",United States,LAREDO INTERNATIONAL,Fatal(7),Destroyed,Airplane,N4244Z,Robertson,C-402B,No,2.0,Reciprocating,Personal,7.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,24-01-1983
167,20020917X02163,LAX82DA052,1982-01-24,"FLAGSTAFF, AZ",United States,PULLIAM FIELD,Non-Fatal,Substantial,Airplane,N13533,Cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,24-01-1983
168,20020917X01895,CHI82FEE12,1982-01-24,"WHEELING, IL",United States,PAL WAUKEE,Non-Fatal,Substantial,Airplane,N6492V,Cessna,172RG,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Standing,Probable Cause,24-01-1983
169,20020917X01661,ATL82DA040,1982-01-24,"ATHENS, GA",United States,ATHENS MUNICIPAL,Non-Fatal,Substantial,Airplane,N34975,Cessna,177,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Descent,Probable Cause,24-01-1983
171,20020917X01652,ANC82FA017,1982-01-25,"ANCHORAGE, AK",United States,SKY HARBOR/O'MALLEY,Non-Fatal,Substantial,Airplane,N4825B,Cessna,152II,No,1.0,Reciprocating,Instructional,0.0,0.0,1.0,0.0,VMC,Descent,Probable Cause,25-01-1983
173,20020917X02485,NYC82DA020,1982-01-26,"SUSSEX, NJ",United States,SUSSEX,Non-Fatal,Substantial,Airplane,N5989W,Piper,PA-28-140,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,26-01-1983
174,20020917X02430,MKC82DA025,1982-01-26,"LEE'S SUMMIT, MO",United States,MCCOMAS-LEES SUMMIT,Non-Fatal,Substantial,Airplane,N9259H,Cessna,172N,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,3.0,VMC,Taxi,Probable Cause,26-01-1983
179,20020917X02491,NYC82DA027,1982-01-27,"ANSONIA, CT",United States,ANSONIA,Non-Fatal,Substantial,Airplane,N4918H,Cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,27-01-1983
180,20020917X02164,LAX82DA053,1982-01-27,"LODI, CA",United States,KINGDON AIRPARK,Non-Fatal,Substantial,Airplane,N64951,Cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,27-01-1983
181,20020917X01925,DEN82DA031,1982-01-27,"BROOMFIELD, CO",United States,JEFFERSON COUNTY,Non-Fatal,Substantial,Airplane,N5745T,Cessna,172N,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,27-01-1983
